signal,spectrum,avg,max,flatness,entropy,spread,higuchi
Harmonic (5/10/20/40 Hz),H,0.37542155061809757,2.210081988522627,0.7998093921234547,5.4222931901081886,8.269276143149295,0.8910556522958836
Harmonic (5/10/20/40 Hz),PC,0.008477125955684289,0.0367579299740973,0.850449532570576,5.591468752813586,8.313709768011,0.8085640016924456
Harmonic (5/10/20/40 Hz),R,0.0052054286576784315,0.08123803897112843,0.415859266344976,4.215779247554675,7.3598318438702135,0.9367587789537195
Pink noise (1/f),H,0.35284252535501426,0.9830273138835972,0.9464148085676842,5.739377665888118,8.679099151388742,0.9108728249841375
Pink noise (1/f),PC,0.007776274913147046,0.010653768533989586,0.993158240019998,5.822961481778434,8.337941761598119,0.8227314339150122
Pink noise (1/f),R,0.0027840912487835387,0.010472945464705372,0.9263370606494374,5.690717981130079,8.881366212664755,0.9596864402007382
Inharmonic (7/11.3/17.9/23 Hz),H,0.28871659217112944,1.614233697045606,0.09060106268579678,4.318647123430702,6.293080027994523,0.7615545472841369
Inharmonic (7/11.3/17.9/23 Hz),PC,0.006919505760537484,0.03610222998487004,0.09788178547485943,4.328179117376354,6.252746134893343,0.7454072843621092
Inharmonic (7/11.3/17.9/23 Hz),R,0.006802449069274377,0.05827743618006749,0.0026044546522659942,3.730907264307864,6.320396332638872,0.8679737182212852
